epoch	scaling	#test	difAvg	0difAvg	accur	TP	TN	FP	FN	P	N	correct
note: difAvg error (squared) and 0-difAvg error (squared) are multiplied by 100
1	1.25	256	33.6191	0.2497	0.0074	98.4375	0.0	0.3906	1.1719	99.6094	0.3906	98.4375
1	1.5	250	28.253	0.3525	0.0125	98.0	0.0	0.4	1.6	99.6	0.4	98.0
1	1.75	283	18.572	0.3843	0.0207	95.4064	0.0	0.3534	4.2403	99.6466	0.3534	95.4064
1	2	240	12.7437	0.4553	0.0357	92.9167	0.0	0.4167	6.6667	99.5833	0.4167	92.9167
1	2.5	239	6.7654	0.3314	0.049	93.7238	0.0	0.4184	5.8577	99.5816	0.4184	93.7238
1	3	268	6.5892	0.384	0.0583	99.6269	0.0	0.3731	0.0	99.6269	0.3731	99.6269
1	3.5	260	5.299	0.4816	0.0909	99.2308	0.0	0.3846	0.3846	99.6154	0.3846	99.2308
1	4	285	3.1952	0.4044	0.1266	99.6491	0.0	0.0	0.3509	100.0	0.0	99.6491
1	5	257	1.7129	0.3655	0.2134	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	6	270	1.7021	0.2486	0.146	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	7	269	1.1788	0.269	0.2282	99.6283	0.0	0.3717	0.0	99.6283	0.3717	99.6283
1	8	260	1.1075	0.4996	0.4511	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	10	258	0.754	0.5362	0.7112	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	12	248	0.5213	0.3051	0.5852	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	14	268	0.3951	0.3165	0.8009	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	16	249	0.3332	0.375	1.1254	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	20	288	0.387	0.4807	1.2422	99.6528	0.0	0.3472	0.0	99.6528	0.3472	99.6528
1	24	264	0.2231	0.4206	1.8854	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	28	273	0.3142	0.344	1.0948	99.6337	0.0	0.3663	0.0	99.6337	0.3663	99.6337
1	32	248	0.2224	0.3056	1.3739	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	40	265	0.2336	0.3073	1.3154	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	48	257	0.3671	0.483	1.3158	99.6109	0.0	0.3891	0.0	99.6109	0.3891	99.6109
1	56	257	0.2754	0.3715	1.3486	99.6109	0.0	0.3891	0.0	99.6109	0.3891	99.6109
1	64	276	0.293	0.3733	1.2741	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	80	281	0.2326	0.3104	1.3343	99.6441	0.0	0.3559	0.0	99.6441	0.3559	99.6441
1	96	256	0.3336	0.4014	1.2032	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	112	265	0.3899	0.4494	1.1527	99.2453	0.0	0.7547	0.0	99.2453	0.7547	99.2453
1	128	269	0.2909	0.3385	1.1638	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	160	273	0.2234	0.2679	1.1996	99.6337	0.0	0.3663	0.0	99.6337	0.3663	99.6337
1	192	272	0.1895	0.2117	1.1173	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	224	292	0.1831	0.2222	1.2138	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	256	262	0.3063	0.3326	1.0859	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	320	257	0.5196	0.5549	1.0678	99.6109	0.0	0.3891	0.0	99.6109	0.3891	99.6109
1	384	279	0.1638	0.1755	1.0713	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	448	264	0.1942	0.2102	1.0822	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	512	273	0.3421	0.3687	1.0777	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	640	258	0.2763	0.2872	1.0397	99.6124	0.0	0.3876	0.0	99.6124	0.3876	99.6124
1	768	275	0.3922	0.4023	1.0257	99.2727	0.0	0.7273	0.0	99.2727	0.7273	99.2727
1	896	254	0.3875	0.3995	1.031	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	1024	243	0.349	0.3548	1.0166	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	1280	257	0.2603	0.2655	1.0201	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	1536	255	0.2666	0.2696	1.0111	100.0	0.0	0.0	0.0	100.0	0.0	100.0
